archetype,partite,piloti,quota_%
Archaludon + Duraludon,1,1,0.0
Mega Eelektross ex + Tynamo,1,1,0.0
Mega Diancie ex + Latias ex,1,1,0.0
Marnie's Grimmsnarl ex + Cornerstone Mask Ogerpon ex,1,1,0.0
Magnezone + Magneton,1,1,0.0
Lillie’s Clefairy ex + Hop’s Snorlax,1,1,0.0
Leafeon ex + Flareon ex,1,1,0.0
Iron Thorns ex + Crustle,1,1,0.0
Marnie's Grimmsnarl ex + Latias ex,1,1,0.0
Mega Froslass ex + Dudunsparce,1,1,0.0
Mega Kangaskhan ex + Blaziken,1,1,0.0
Latias ex + Fezandipiti ex,1,1,0.0
Excadrill ex + Bloodmoon Ursaluna,1,1,0.0
Dudunsparce + Cubchoo,1,1,0.0
Dragapult ex + Wellspring Mask Ogerpon ex,1,1,0.0
Cynthia's Garchomp ex + Cynthia's Gabite,1,1,0.0
Dragapult ex + Teal Mask Ogerpon ex,1,1,0.0
Dragapult ex + Meowth ex,1,1,0.0
Dragapult ex + Dusknoir,1,1,0.0
Fezandipiti ex + Crustle,1,1,0.0
Flareon ex + Leafeon ex,1,1,0.0
Fezandipiti ex + Huntail,1,1,0.0
Ethan's Typhlosion + Dudunsparce,1,1,0.0
Hippopotas,1,1,0.0
Hop’s Choice Band + Hop’s Snorlax,1,1,0.0
Mega Abomasnow ex + Dondozo ex,1,1,0.0
Mega Abomasnow ex + Keldeo ex,1,1,0.0
Mega Kangaskhan ex + Latias ex,1,1,0.0
Mega Kangaskhan ex + Mega Absol ex,1,1,0.0
Mega Absol ex + Fezandipiti ex,1,1,0.0
Mega Absol ex + Yveltal ex,1,1,0.0
Mega Venusaur ex + Mega Meganium ex,1,1,0.0
Mega Lucario ex + Meowth ex,1,1,0.0
Mega Lucario ex + Stonjourner,1,1,0.0
Mega Lucario ex + Hero’s Cape,1,1,0.0
Mega Lopunny ex + Marnie's Grimmsnarl ex,1,1,0.0
Mega Lopunny ex + Dudunsparce ex,1,1,0.0
Mega Kangaskhan ex + Walrein,1,1,0.0
Mega Scrafty ex + Okidogi ex,1,1,0.0
Mega Lucario ex + Latias ex,1,1,0.0
Mega Lucario ex + Bloodmoon Ursaluna,1,1,0.0
Mega Lucario ex + Dudunsparce ex,1,1,0.0
Mega Zygarde ex + Throh,1,1,0.0
Suicune + Clawitzer,1,1,0.0
Raging Bolt ex + Teal Mask Ogerpon ex,1,1,0.0
Regice ex + Lapras ex,1,1,0.0
Regirock ex + Cornerstone Mask Ogerpon ex,1,1,0.0
N’s Zoroark ex + Pecharunt ex,1,1,0.0
Miraidon ex + Pikachu ex,1,1,0.0
Mismagius ex + Latias ex,1,1,0.0
N’s Zoroark ex + Fezandipiti ex,1,1,0.0
Mega Zygarde ex + Barbaracle,1,1,0.0
Mega Zygarde ex + Mega Hawlucha ex,1,1,0.0
Mega Zygarde ex,1,1,0.0
Teal Mask Ogerpon ex + Shaymin,1,1,0.0
Team Rocket's Exeggutor + Team Rocket's Articuno,1,1,0.0
Teal Mask Ogerpon ex + Zarude,1,1,0.0
Team Rocket's Mewtwo ex + Team Rocket's Kangaskhan ex,1,1,0.0
Team Rocket's Mewtwo ex + Ethan's Ho-Oh ex,1,1,0.0
