agent,partite,vittorie,winrate,elo
kashiwashira,251,147,0.5856573705179283,1111
GUOHAOYANG,221,129,0.583710407239819,1111
lollipop947,93,60,0.6451612903225806,1110
Orin,70,46,0.6571428571428571,1109
西松大祐,129,72,0.5581395348837209,1103
cununn,130,74,0.5692307692307692,1102
shg195,109,62,0.5688073394495413,1102
Hancang Mi,123,74,0.6016260162601627,1094
haggle,234,124,0.5299145299145299,1094
wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,183,108,0.5901639344262295,1093
nsytsqdtn,115,61,0.5304347826086957,1091
Dries @ Tufa Labs,129,72,0.5581395348837209,1090
【共逐荣光】Timmy Juicehouse,156,80,0.5128205128205128,1090
KawattaTaido,81,51,0.6296296296296297,1089
monnosuke,84,46,0.5476190476190477,1088
junlee789,193,111,0.5751295336787565,1087
MtN,120,63,0.525,1087
zoroark190,182,113,0.6208791208791209,1086
miya,116,60,0.5172413793103449,1085
youtube.com/@BigBugginnings,159,95,0.5974842767295597,1084
bono,176,108,0.6136363636363636,1083
JZ,160,85,0.53125,1081
iwance,75,46,0.6133333333333333,1080
Thai,40,19,0.475,1077
Ghleii,117,64,0.5470085470085471,1076
Roman Stupin,212,126,0.5943396226415094,1075
jiatu.l,168,81,0.48214285714285715,1075
iwashi,123,63,0.5121951219512195,1071
Eduardo Rocha de Andrade,168,87,0.5178571428571429,1070
Gemini ch.,192,108,0.5625,1069
koala_bear “もりたにあん”,96,53,0.5520833333333334,1069
NorthStar,120,66,0.55,1069
Rafael,129,69,0.5348837209302325,1066
ZHYW,6,5,0.8333333333333334,1065
Help-Computa,11,7,0.6363636363636364,1065
カントー地方マスター,114,68,0.5964912280701754,1065
NIWATORI,159,87,0.5471698113207547,1065
Benarg,166,85,0.5120481927710844,1064
spasibo egoru,18,10,0.5555555555555556,1063
goonew,131,67,0.5114503816793893,1059
Rmy,218,111,0.5091743119266054,1058
wkonishi,20,10,0.5,1057
Pokéman,7,6,0.8571428571428571,1056
tktkyamyam,14,8,0.5714285714285714,1052
Kh0a,123,63,0.5121951219512195,1052
{{ team_name }},9,6,0.6666666666666666,1049
NguyenThanhNhan,140,69,0.4928571428571429,1049
fujiborozoukin,108,56,0.5185185185185185,1048
A. R. SEKKAT,217,127,0.5852534562211982,1046
Battle Data Base,3,3,1.0,1044
tomo11111,12,7,0.5833333333333334,1044
Pokér-man,81,43,0.5308641975308642,1044
タニシ,110,55,0.5,1044
Yiheng Wang,14,8,0.5714285714285714,1043
NoOne,115,56,0.48695652173913045,1043
cm391,8,5,0.625,1042
poppy457,8,5,0.625,1041
theredbluepill,10,6,0.6,1040
ポケカ前線,11,6,0.5454545454545454,1038
X,3,3,1.0,1036
Poké-man,13,8,0.6153846153846154,1035
TTT Is All You Need,49,27,0.5510204081632653,1035
syuuuuu,12,6,0.5,1035
taku_Kuma,8,5,0.625,1034
Sota Uchiyama,11,6,0.5454545454545454,1034
RK,2,2,1.0,1033
sleeper,2,2,1.0,1033
BhavitB,4,3,0.75,1033
suguuuuu & hiehie,4,3,0.75,1033
tera358,2,2,1.0,1032
BarrelAged,7,4,0.5714285714285714,1031
perrodawn,7,4,0.5714285714285714,1031
rmizuta,108,55,0.5092592592592593,1031
xinpw8,2,2,1.0,1030
Haumea,24,11,0.4583333333333333,1029
Donate to Venezuela,2,2,1.0,1028
yalee,2,2,1.0,1028
KakuTakagawa,9,5,0.5555555555555556,1028
Jeffrey Pike,17,8,0.47058823529411764,1028
Xiangyu Liu,22,10,0.45454545454545453,1028
jneums,112,49,0.4375,1028
想要成为kaggle大师,22,10,0.45454545454545453,1027
hoshippi,113,51,0.45132743362831856,1027
Nikita Babych,2,2,1.0,1026
Schneiden,2,2,1.0,1025
shini47,2,2,1.0,1025
ゾロアホゲータカポエラーホエルオーヒトモシ,2,2,1.0,1025
Olegolas1,10,5,0.5,1024
taksai,20,10,0.5,1024
Where is my orbit,144,72,0.5,1023
Biubiu,5,3,0.6,1022
SJY321,5,3,0.6,1022
ei ei ei yikuso,107,49,0.45794392523364486,1022
saeNeko,8,4,0.5,1021
pztriatomic,13,6,0.46153846153846156,1021
Bart von Meijenfeldt,34,18,0.5294117647058824,1019
Davide,1,1,1.0,1018
Eruto Kondo,1,1,1.0,1018
Nine1Eight,1,1,1.0,1018
Tian hao Qing Nano7ko,1,1,1.0,1018
XP3RiX,1,1,1.0,1018
Yugoawawa,1,1,1.0,1018
ayato_suzuki10,1,1,1.0,1018
hideMonkey,1,1,1.0,1018
llkarill,1,1,1.0,1018
tw_shin,1,1,1.0,1018
zumi zumi,1,1,1.0,1018
清水一希,1,1,1.0,1018
Gengar,5,3,0.6,1018
lolzpo + emonga,42,17,0.40476190476190477,1018
AGNT.gg,1,1,1.0,1017
Ash,1,1,1.0,1017
Bowowen,1,1,1.0,1017
COLD,1,1,1.0,1017
Emanuel Perez,1,1,1.0,1017
Enoki,1,1,1.0,1017
Finlay Anderson,1,1,1.0,1017
NayuNayu,1,1,1.0,1017
Rachelton,1,1,1.0,1017
Rostislav,1,1,1.0,1017
Rotation Theory,1,1,1.0,1017
TakamaruEX,1,1,1.0,1017
idk,1,1,1.0,1017
kazuki morikawa,1,1,1.0,1017
kosuke-shimizu,1,1,1.0,1017
near field,1,1,1.0,1017
rmoooi,1,1,1.0,1017
u2,1,1,1.0,1017
vkhydras,1,1,1.0,1017
スズキタケヤ,1,1,1.0,1017
Ochir Dorzhiev,8,4,0.5,1017
Marshall Maximizer,45,21,0.4666666666666667,1017
msd0110,28,12,0.42857142857142855,1017
AKIYA NAKASATO,1,1,1.0,1016
Beginner's luck,1,1,1.0,1016
FinlaMor,1,1,1.0,1016
Kawakami,1,1,1.0,1016
Le Trong Hieu,1,1,1.0,1016
Masato_Hidaka,1,1,1.0,1016
Paris Baguette,1,1,1.0,1016
Pyouneetm,1,1,1.0,1016
shigengtian,1,1,1.0,1016
yamuyamu,1,1,1.0,1016
yasu,1,1,1.0,1016
怒破餓鬼,1,1,1.0,1016
打不过zen,1,1,1.0,1016
PP kawada,5,3,0.6,1016
One Turn Off Lethal,16,7,0.4375,1016
Chua Zheng Wei Brian,12,5,0.4166666666666667,1016
Allan Kássio Beckman Soares da Cruz,1,1,1.0,1015
Anvith Pothula,1,1,1.0,1015
"Gojo, Toji, Sukuna",1,1,1.0,1015
Jackylw,1,1,1.0,1015
KHira,1,1,1.0,1015
LI YIYANG829,1,1,1.0,1015
MakiMakiAi,1,1,1.0,1015
Rishiraj Acharya,1,1,1.0,1015
Suyash Verma,1,1,1.0,1015
Tri Nguyen,1,1,1.0,1015
gagacrow,1,1,1.0,1015
hayle60,1,1,1.0,1015
pokesom,1,1,1.0,1015
shyGnome3,1,1,1.0,1015
vibechu,1,1,1.0,1015
yutssk,1,1,1.0,1015
chenpengyu603,3,2,0.6666666666666666,1015
cyrus,3,2,0.6666666666666666,1015
YumeNeko,11,5,0.45454545454545453,1015
Skyra,9,4,0.4444444444444444,1015
Abdalrahman mohamed,1,1,1.0,1014
Alex G,1,1,1.0,1014
Altar Buyukdogan,1,1,1.0,1014
Ausrine,1,1,1.0,1014
Kailee Hamre,1,1,1.0,1014
Lunariz,1,1,1.0,1014
NiuNiu,1,1,1.0,1014
Otias Ujiat,1,1,1.0,1014
SamuelSanolume,1,1,1.0,1014
aoi1222,1,1,1.0,1014
matsubarajotaro,1,1,1.0,1014
maxwell_ml,1,1,1.0,1014
toiru1999,1,1,1.0,1014
すずき,1,1,1.0,1014
lmaffei,116,61,0.5258620689655172,1014
K.Yoshida,4,2,0.5,1014
MPGaming,18,7,0.3888888888888889,1014
Calcite Valentin,1,1,1.0,1013
Hungchien,1,1,1.0,1013
MizoTake,1,1,1.0,1013
SHUBHOJIT NASKAR,1,1,1.0,1013
ShuHaya,1,1,1.0,1013
Vernon,1,1,1.0,1013
ahawd,1,1,1.0,1013
kiwi apple,1,1,1.0,1013
zzz zzz6789,1,1,1.0,1013
RtoABC,31,12,0.3870967741935484,1013
Hamu.py,1,1,1.0,1012
IPL,1,1,1.0,1012
Sebastian & Breno,1,1,1.0,1012
keteru,1,1,1.0,1012
szyulian,1,1,1.0,1012
BluezLee,4,2,0.5,1012
Flood Beast,1,1,1.0,1011
PokeBotty,1,1,1.0,1011
simmons1025,2,1,0.5,1011
黒田彩人,2,1,0.5,1011
kunihiro,11,5,0.45454545454545453,1011
john jiang zhifeng,7,3,0.42857142857142855,1011
Käfersammler Max,24,10,0.4166666666666667,1011
AmiciDelPo,2,1,0.5,1010
BoxyML,2,1,0.5,1010
Hirotaka Sugawara,2,1,0.5,1010
MAC,2,1,0.5,1010
tarakobasuta,2,1,0.5,1010
Andrej Carpenter,4,2,0.5,1009
CHEN CHEN,4,2,0.5,1009
Efthimios,2,1,0.5,1009
Xinpeng Bei,2,1,0.5,1009
nekokaeru,2,1,0.5,1009
xnx,4,2,0.5,1009
Денис,2,1,0.5,1009
豆本豆豆包,2,1,0.5,1009
shu,7,3,0.42857142857142855,1009
Pokémon Day Care,20,8,0.4,1009
SQUIRTLE (prime),136,70,0.5147058823529411,1008
CoCoSh,2,1,0.5,1008
Fakble 6,2,1,0.5,1008
Hritik Arasu,2,1,0.5,1008
Lior Toledano,2,1,0.5,1008
Matsu,2,1,0.5,1008
TMMT,2,1,0.5,1008
Yuto Muroshima,2,1,0.5,1008
hoshi18,7,3,0.42857142857142855,1008
Bozo Boys,4,2,0.5,1007
Hishi057,2,1,0.5,1007
ISSEI,2,1,0.5,1007
Masayuki Ueno,2,1,0.5,1007
gemelom,2,1,0.5,1007
rurumi,2,1,0.5,1007
taka,2,1,0.5,1007
ttmn,4,2,0.5,1007
Topdecking is All You Need,14,6,0.42857142857142855,1007
hiro094,7,3,0.42857142857142855,1007
vvs,27,11,0.4074074074074074,1007
AlphaMon,2,1,0.5,1006
Daikon99,2,1,0.5,1006
Masashi Onda,2,1,0.5,1006
Mokuren Narisawa,2,1,0.5,1006
elrapido,2,1,0.5,1006
🐱KittenLeague🐱,2,1,0.5,1006
Abhiraj Singh,17,8,0.47058823529411764,1006
RMatsugen,7,3,0.42857142857142855,1006
rotto,21,9,0.42857142857142855,1006
takayosi,7,3,0.42857142857142855,1006
Bocchieri Alberto,2,1,0.5,1005
DeepMew,2,1,0.5,1005
Gracie,2,1,0.5,1005
Masahiro Nagasawa,2,1,0.5,1005
SantaClaws 🎅,2,1,0.5,1005
Snow Yan,2,1,0.5,1005
askamijo,2,1,0.5,1005
capbloo,2,1,0.5,1005
koga_poke,2,1,0.5,1005
XtraLearning,5,2,0.4,1005
kami,8,3,0.375,1005
Tsubasa,4,2,0.5,1004
masuo machidori,2,1,0.5,1004
hukuda222,7,3,0.42857142857142855,1004
Kunal Aarse,2,1,0.5,1003
Kyoungwon Jeong,2,1,0.5,1003
Magikarp,2,1,0.5,1003
Nekogami,2,1,0.5,1003
Takaaki Matsuda,2,1,0.5,1003
Gijs Smit,57,22,0.38596491228070173,1003
stardom,13,5,0.38461538461538464,1003
Orion,8,3,0.375,1003
Raja Biswas,123,62,0.5040650406504065,1002
ANIMA SQUAD,2,1,0.5,1002
jp_nerdery,2,1,0.5,1002
Oleksandr_Savsunenko,7,3,0.42857142857142855,1002
ei1333,12,5,0.4166666666666667,1002
ノノノノノノノノ,5,2,0.4,1002
ImANoob1122,3,1,0.3333333333333333,1002
skurita,5,2,0.4,1001
Himi Yamato,3,1,0.3333333333333333,1001
Xiangjiang Zhou,3,1,0.3333333333333333,1001
kokun syu,5,2,0.4,1000
Brahim,34,12,0.35294117647058826,1000
caprest,3,1,0.3333333333333333,1000
fuga doggo,3,1,0.3333333333333333,1000
kidekikish,3,1,0.3333333333333333,1000
Hexylab,0,0,0.0,1000
Gaurav Goswami,5,2,0.4,999
宝糕手,30,11,0.36666666666666664,999
John Mitchell,3,1,0.3333333333333333,999
Omniscience,3,1,0.3333333333333333,999
Shota Hirao,3,1,0.3333333333333333,999
Sou Hano,3,1,0.3333333333333333,999
AyFukushima,16,6,0.375,998
Arti-fish-ial Intelligence,3,1,0.3333333333333333,998
Chekhlov Dmitrii,3,1,0.3333333333333333,998
Fususu,3,1,0.3333333333333333,998
akzw,3,1,0.3333333333333333,998
klog,3,1,0.3333333333333333,998
mimi,3,1,0.3333333333333333,998
rick & shikitora,15,6,0.4,997
Tsuyoshi Suketomo,3,1,0.3333333333333333,997
wangyuou,23,9,0.391304347826087,996
Rok,3,1,0.3333333333333333,996
Tanabe Yudai,6,2,0.3333333333333333,996
ペンギン,6,2,0.3333333333333333,996
3.14159265,1,0,0.0,996
CMK,3,1,0.3333333333333333,995
Ruko,3,1,0.3333333333333333,995
Little Rascal,1,0,0.0,995
Xuanyi Liao,1,0,0.0,995
Pushu?,18,7,0.3888888888888889,994
Latte,6,2,0.3333333333333333,994
titako0000,3,1,0.3333333333333333,994
Choco,1,0,0.0,994
Ewart ML,1,0,0.0,994
HAL TCG Dojo,1,0,0.0,994
HARUKI HARADA,1,0,0.0,994
Iclal Cetin,1,0,0.0,994
InformaBook2,1,0,0.0,994
Kazuya Hirose,1,0,0.0,994
Kobasun,1,0,0.0,994
MADICHETTY SAI RUCHITHA,1,0,0.0,994
Mamo,1,0,0.0,994
Nao Komura,1,0,0.0,994
POKEDEMIA_ISSEI,1,0,0.0,994
Penguin,1,0,0.0,994
SUGI,1,0,0.0,994
SoPro,1,0,0.0,994
Takusato,1,0,0.0,994
Xiaoqing Su,1,0,0.0,994
YanXiaohan666,1,0,0.0,994
Z19 Maker,1,0,0.0,994
aidy,1,0,0.0,994
atsuken,1,0,0.0,994
born,1,0,0.0,994
cabbage patch,1,0,0.0,994
cornwall,1,0,0.0,994
cshara,1,0,0.0,994
flaty,1,0,0.0,994
harapeco_onakasuita,1,0,0.0,994
hdttnk,1,0,0.0,994
jesus riva,1,0,0.0,994
kozzy,1,0,0.0,994
ktyoku,1,0,0.0,994
mochikiichigo,1,0,0.0,994
persn,1,0,0.0,994
sakaitt,1,0,0.0,994
sashimi0402,1,0,0.0,994
shimasoft,1,0,0.0,994
sou yamaguchi,1,0,0.0,994
t-enstar,1,0,0.0,994
typeIIIfairy,1,0,0.0,994
venom,1,0,0.0,994
xiaoxin zhao,1,0,0.0,994
かすみさんち,1,0,0.0,994
ことこと,1,0,0.0,994
泣きむしサメチャン,1,0,0.0,994
Shardul Gharat,21,9,0.42857142857142855,993
MIRAI LAB,16,6,0.375,993
giacomovin,10,3,0.3,993
kmizunoster,4,1,0.25,993
600626_วายุ,1,0,0.0,993
@🤞@,1,0,0.0,993
Aditya Sharma,1,0,0.0,993
Ajishio,1,0,0.0,993
Akifumi Okubo,1,0,0.0,993
Albert Wang,1,0,0.0,993
Alex Gorica,1,0,0.0,993
AlphaKarpZero,1,0,0.0,993
AnSuSu,1,0,0.0,993
Anhad Mahajan,1,0,0.0,993
Ant,1,0,0.0,993
Aslan168,1,0,0.0,993
Athar Sayed,1,0,0.0,993
Bulba-Zero,1,0,0.0,993
Chen Hongjie,1,0,0.0,993
ChrisYU2021,1,0,0.0,993
Cook Noah,1,0,0.0,993
Dauthui,1,0,0.0,993
Dustin L,1,0,0.0,993
Edward Lue Chee Lip,1,0,0.0,993
Ethereal49,1,0,0.0,993
Exodia,1,0,0.0,993
Fernando,1,0,0.0,993
Gary,1,0,0.0,993
Genki,1,0,0.0,993
Giovanni Chang,1,0,0.0,993
HKU_144,1,0,0.0,993
Haruto_Beginner Data Scientist,1,0,0.0,993
Hikaru Umeyama,1,0,0.0,993
Hiroyasu123,1,0,0.0,993
HiroyukiSasaki,1,0,0.0,993
Hitoshi Mochizuki,1,0,0.0,993
Jarl_Bulbasaur,1,0,0.0,993
Jonathan Coletti,1,0,0.0,993
Junliang Ye,1,0,0.0,993
Kelvin,1,0,0.0,993
Kitaev,1,0,0.0,993
Klein Houmani,1,0,0.0,993
Kohta.F,1,0,0.0,993
LCZ1996,1,0,0.0,993
Logical matrix,1,0,0.0,993
Maxim Simakov,1,0,0.0,993
Maximiliano,1,0,0.0,993
Mehul Mathodia,1,0,0.0,993
Milind Choudhary,1,0,0.0,993
Minal kharat123,1,0,0.0,993
Mr_Ralphie,1,0,0.0,993
Muhandro,1,0,0.0,993
Namito,1,0,0.0,993
Natsuki Kasubata,1,0,0.0,993
Parth Thakker,1,0,0.0,993
Pioneer 2,1,0,0.0,993
Poshiri,1,0,0.0,993
Pult Pounders ;),1,0,0.0,993
Roy_Wang925,1,0,0.0,993
Shigu Marimo,1,0,0.0,993
Shishio Makoto,1,0,0.0,993
Skyraider,1,0,0.0,993
Skyscraver,1,0,0.0,993
Sobat Bucin,1,0,0.0,993
Suzuki Mari,1,0,0.0,993
T T (りっきー),1,0,0.0,993
Taira Kaminaga,1,0,0.0,993
Takuro Abe,1,0,0.0,993
Team_Rocket,1,0,0.0,993
Tomoki Tanzawa,1,0,0.0,993
Toriitechforge_John,1,0,0.0,993
Trainer Karl,1,0,0.0,993
Twe Dyo,1,0,0.0,993
UBI=ISHI,1,0,0.0,993
Vicky Maan,1,0,0.0,993
We1chnon,1,0,0.0,993
Wellch,1,0,0.0,993
Yohanchen,1,0,0.0,993
Zachariah Glad,1,0,0.0,993
[Deleted] b62b5e0a-0771-47bf-93b0-1d6d0c94542f,1,0,0.0,993
daniel,1,0,0.0,993
funahara,1,0,0.0,993
g-taniguchi,1,0,0.0,993
gamesu7107,1,0,0.0,993
gogogozi migimimi,1,0,0.0,993
haiy_qq,1,0,0.0,993
haruki nishio,1,0,0.0,993
hatakazu93,1,0,0.0,993
hayatoail,1,0,0.0,993
himatani,1,0,0.0,993
hirotaka kaminishi,1,0,0.0,993
hookbook,1,0,0.0,993
jannchie,1,0,0.0,993
junXD5,1,0,0.0,993
k66,1,0,0.0,993
kawachi,1,0,0.0,993
kmn,1,0,0.0,993
kurushun,1,0,0.0,993
kusui26,1,0,0.0,993
lackmind,1,0,0.0,993
lei minish,1,0,0.0,993
monsaraida,1,0,0.0,993
nashu,1,0,0.0,993
nnadrian,1,0,0.0,993
nyanlinnmya,1,0,0.0,993
ozdogant,1,0,0.0,993
pysong wang,1,0,0.0,993
qqjling333,1,0,0.0,993
rode,1,0,0.0,993
seiya.n21,1,0,0.0,993
shallowfieldagon,1,0,0.0,993
shu8Cream,1,0,0.0,993
sixer srinath,1,0,0.0,993
sk1012,1,0,0.0,993
sqrt4kaido,1,0,0.0,993
taiyoooo,1,0,0.0,993
tk.mit0127,1,0,0.0,993
tokawa2997,1,0,0.0,993
vivaleee,1,0,0.0,993
volume_pomeranian,1,0,0.0,993
xxhogehogexx,1,0,0.0,993
yamy893,1,0,0.0,993
yanakatsu,1,0,0.0,993
yuki,1,0,0.0,993
yuki #3,1,0,0.0,993
yuki jyono,1,0,0.0,993
yw8837,1,0,0.0,993
zzz_nya,1,0,0.0,993
АНАНАС,1,0,0.0,993
ゼミ費ください。,1,0,0.0,993
立て板に水,1,0,0.0,993
车嘉宁（Mr-Car）,1,0,0.0,993
（かえる）,1,0,0.0,993
Michael Long,24,10,0.4166666666666667,992
fizzmi,3,1,0.3333333333333333,992
Matteo Pintore,4,1,0.25,992
20241206_yujinkim,1,0,0.0,992
ASAGAO,1,0,0.0,992
Aakansha.aakaa,1,0,0.0,992
Aayush Sigdel,1,0,0.0,992
Abdulazeez AbdulMumeen,1,0,0.0,992
Abhishek Jain,1,0,0.0,992
Adi Kumar,1,0,0.0,992
Andreas Bretschneider,1,0,0.0,992
Bektursyn Shaimerden,1,0,0.0,992
Bidoofuses,1,0,0.0,992
CYLIM87,1,0,0.0,992
Charmander,1,0,0.0,992
Climber513,1,0,0.0,992
Dasinu,1,0,0.0,992
DiuDiu,1,0,0.0,992
Gabriele,1,0,0.0,992
Hikaru Yamamoto,1,0,0.0,992
Ikeda0516,1,0,0.0,992
Infernape,1,0,0.0,992
Jonathan Amdam,1,0,0.0,992
Kazeneko,1,0,0.0,992
Koikoiiinami,1,0,0.0,992
Kuriboh,1,0,0.0,992
LiquidAmmonia1999,1,0,0.0,992
MAMOOS,1,0,0.0,992
MTADA,1,0,0.0,992
MahLong,1,0,0.0,992
Mai iss Duniya ka papa hu papa,1,0,0.0,992
Michael Krager,1,0,0.0,992
Monibee Fudgekins,1,0,0.0,992
Murat Kolic,1,0,0.0,992
Nathan Arellano,1,0,0.0,992
Nozopo,1,0,0.0,992
NullPointer,1,0,0.0,992
OKA,1,0,0.0,992
POGINATORS,1,0,0.0,992
PTCG_HORMONE,1,0,0.0,992
Pelayo Puerta,1,0,0.0,992
Quasar,1,0,0.0,992
RMensinck,1,0,0.0,992
Raki,1,0,0.0,992
Rojiomote,1,0,0.0,992
RyanHo,1,0,0.0,992
Ryusei Nishide,1,0,0.0,992
S. B.,1,0,0.0,992
SKMAAX,1,0,0.0,992
SeaEag1e,1,0,0.0,992
ShinjiroKuroda,1,0,0.0,992
Shiv Satyam,1,0,0.0,992
Soup,1,0,0.0,992
Super Mippo,1,0,0.0,992
Supermercado,1,0,0.0,992
Sébastien henry,1,0,0.0,992
TaSuy,1,0,0.0,992
Tai Yoda,1,0,0.0,992
TakayukiSPIC,1,0,0.0,992
Takito Kobayashi,1,0,0.0,992
Team Rocket,1,0,0.0,992
Terminal 7,1,0,0.0,992
Thomas Young,1,0,0.0,992
Valkyrja,1,0,0.0,992
Water Xiao,1,0,0.0,992
YOYOYO2026,1,0,0.0,992
Yichen Ao,1,0,0.0,992
Yohei Nakajima,1,0,0.0,992
YoshiBrightside,1,0,0.0,992
YounsungLEE,1,0,0.0,992
Yuk!,1,0,0.0,992
ZEZE,1,0,0.0,992
Zscorpio,1,0,0.0,992
adomot,1,0,0.0,992
aym283,1,0,0.0,992
azuma haruki,1,0,0.0,992
b13902103_yuhung94,1,0,0.0,992
bambi_create,1,0,0.0,992
cam3ronc,1,0,0.0,992
celebi,1,0,0.0,992
d02775,1,0,0.0,992
djschmit,1,0,0.0,992
eiji noguchi,1,0,0.0,992
gibbonhugs,1,0,0.0,992
hacotowha,1,0,0.0,992
hamza khokhar890,1,0,0.0,992
haonan zhengh,1,0,0.0,992
harlen,1,0,0.0,992
hikarimaru,1,0,0.0,992
hodumi,1,0,0.0,992
ichYam,1,0,0.0,992
insert team name here,1,0,0.0,992
itsuki-data,1,0,0.0,992
jaafarbk,1,0,0.0,992
jongyoon,1,0,0.0,992
jun.2.tam,1,0,0.0,992
kaito ide 31,1,0,0.0,992
kaliafluorido,1,0,0.0,992
kmj200392,1,0,0.0,992
ko_kuramoto6,1,0,0.0,992
kuma_jp,1,0,0.0,992
kumi cho,1,0,0.0,992
kutty1119,1,0,0.0,992
leche1153,1,0,0.0,992
lingyu07,1,0,0.0,992
linjianrong,1,0,0.0,992
llAnjull,1,0,0.0,992
loveispoison,1,0,0.0,992
mackerel is all you need,1,0,0.0,992
menace369,1,0,0.0,992
n shuhei,1,0,0.0,992
oisho,1,0,0.0,992
radian0523,1,0,0.0,992
reizouko264,1,0,0.0,992
rekhasri,1,0,0.0,992
ren110,1,0,0.0,992
reo ifigg,1,0,0.0,992
riku_cascade,1,0,0.0,992
ryusei,1,0,0.0,992
sakuyuna,1,0,0.0,992
sangmin7b,1,0,0.0,992
shreyas sangalad,1,0,0.0,992
takusemba,1,0,0.0,992
takuyay,1,0,0.0,992
taopy2,1,0,0.0,992
team-N24,1,0,0.0,992
tedo,1,0,0.0,992
tereka,1,0,0.0,992
thunder_ftg,1,0,0.0,992
titanascended,1,0,0.0,992
togakyo,1,0,0.0,992
tomokawa,1,0,0.0,992
tonpeeee_pokemon,1,0,0.0,992
tstakeda,1,0,0.0,992
viber3221,1,0,0.0,992
yamiryu,1,0,0.0,992
yue13,1,0,0.0,992
zhexun Liu,1,0,0.0,992
zhuo wamg,1,0,0.0,992
いもぞん,1,0,0.0,992
すーぱーひとで,1,0,0.0,992
なかよしポケカ倶楽部,1,0,0.0,992
みがわり,1,0,0.0,992
养猪小能手,1,0,0.0,992
土佐黒潮共和国,1,0,0.0,992
宮武輝弥,1,0,0.0,992
让子弹飞一会儿,1,0,0.0,992
Myckel Uribe,8,3,0.375,991
Phil_Hellmuth,16,5,0.3125,991
TCGFlow,4,1,0.25,991
Adi Kusuma,1,0,0.0,991
Aditya Sasidhar,1,0,0.0,991
AdityaKrishnamurthy,1,0,0.0,991
AliLucky,1,0,0.0,991
Anthony Guerrera,1,0,0.0,991
Arctix0,1,0,0.0,991
Arvind CR,1,0,0.0,991
Benjamin Liu,1,0,0.0,991
Berk Ozak,1,0,0.0,991
CCoffie,1,0,0.0,991
Chattso-GPT (Yasuhito Yanagisawa),1,0,0.0,991
Cheshire Cat,1,0,0.0,991
Chikuwabu,1,0,0.0,991
Chippy Mary Cleetus,1,0,0.0,991
Dapp,1,0,0.0,991
Dicer992,1,0,0.0,991
Dick Jessen William,1,0,0.0,991
Doranap,1,0,0.0,991
DuongTien,1,0,0.0,991
Emre Cirak,1,0,0.0,991
Evgeniy Prilutskiy,1,0,0.0,991
Evgeniy Zdoronok,1,0,0.0,991
Ezra #2,1,0,0.0,991
FabienDaniel,1,0,0.0,991
GGMaster,1,0,0.0,991
HACKSTREETBOYZ,1,0,0.0,991
Handudu,1,0,0.0,991
Harnoor Singh,1,0,0.0,991
Haye Cillia,1,0,0.0,991
Hussain Ather,1,0,0.0,991
ITF_Esys_Kasu,1,0,0.0,991
IntelligentApe,1,0,0.0,991
Ioannis M,1,0,0.0,991
Janglish,1,0,0.0,991
Jaywang,1,0,0.0,991
Jeon,1,0,0.0,991
Jiangdan Sun,1,0,0.0,991
KL,1,0,0.0,991
Kai_zuta,1,0,0.0,991
Karandeep Singh #2,1,0,0.0,991
Karolina Kafel,1,0,0.0,991
Kazumi Sakamaki,1,0,0.0,991
Kumajiro,1,0,0.0,991
L7n,1,0,0.0,991
